"plast","plast_2","JSD","pos_cycle","network"
0.1851,0.2671,0.0311777909518852,2,"GRHL2"
0.461,0.5759,0.00342678466085327,3,"GRHL2"
0.4921,0.5984,0.00420877854045282,3,"GRHL2"
0.1825,0.2621,0.531262406156198,2,"GRHL2"
0.1153,0.1816,0.0543393553640392,2,"GRHL2"
0.0663,0.2868,0.250214253416568,2,"GRHL2"
0.1984,0.3244,0.0483200394917949,2,"GRHL2"
0.2978,0.3738,0.0035083882686337,2,"GRHL2"
0.5193,0.6317,0.00141878275006832,3,"GRHL2"
0.5465,0.5914,0.0105704193187068,3,"GRHL2"
0.2581,0.3344,0.187578480377314,2,"GRHL2"
0.2454,0.3272,0.00582446855640062,2,"GRHL2"
0.1489,0.3509,0.540616624091629,2,"GRHL2"
0.318,0.4389,0.00434853343639421,2,"GRHL2"
0.4891,0.6877,0.0116596983740477,4,"GRHL2"
0.3746,0.4631,0.0352419460215745,3,"GRHL2"
0.2503,0.4262,0.0296288585252571,3,"GRHL2"
0.6312,0.6802,0.0102889954652531,5,"GRHL2"
0.5541,0.6045,0.00921249419756642,4,"GRHL2"
0.2503,0.4465,0.0444910902937958,3,"GRHL2"
0.4317,0.5472,0.0291395872567627,3,"GRHL2"
0.3858,0.4704,0.00484791994813167,3,"GRHL2"
0.4765,0.6009,0.00402211335479135,4,"GRHL2"
0.4615,0.5723,0.000239071549683931,3,"GRHL2"
0.7684,0.8033,0.0173583447728854,5,"GRHL2"
0.1856,0.3766,0.0582871801170834,3,"GRHL2"
0.4635,0.5555,0.00916459247314107,4,"GRHL2"
0.3553,0.4794,0.121075132870792,3,"GRHL2"
0.2913,0.4617,0.0175404845712632,3,"GRHL2"
0.6614,0.7198,0.00563109295660427,5,"GRHL2"
0.5389,0.6364,0.00207905133635217,4,"GRHL2"
0.3456,0.4923,0.0275984390342389,3,"GRHL2"
0.4379,0.5434,0,3,"GRHL2"
0.1225,0.5184,0.231233709876925,3,"GRHL2act"
0.3152,0.56,0.0328893554040583,3,"GRHL2act"
0.2146,0.4548,0.0302003275195263,3,"GRHL2act"
0.1913,0.4218,0.0623767923663089,3,"GRHL2act"
0.2185,0.4357,0.236397850941347,3,"GRHL2act"
0.5624,0.7377,0.00422105379679984,4,"GRHL2act"
0.5192,0.7126,0.00333512010231705,4,"GRHL2act"
0.3712,0.4657,0.0161375604132797,3,"GRHL2act"
0.2063,0.5548,0.384437551493073,3,"GRHL2act"
0.4274,0.6458,0.00435800032478932,3,"GRHL2act"
0.3378,0.5439,0.00292891428575424,3,"GRHL2act"
0.2978,0.5047,0.00658847144283926,3,"GRHL2act"
0.3305,0.5435,0.0603783316099369,3,"GRHL2act"
0.6328,0.7295,0.00688561187500611,4,"GRHL2act"
0.5663,0.7537,0.000875905223626642,4,"GRHL2act"
0.4364,0.551,0.0102742149885729,3,"GRHL2act"
0.2738,0.5621,0.0478609809245356,4,"GRHL2act"
0.7395,0.8054,0.0178374948723832,6,"GRHL2act"
0.6811,0.7551,0.0186019335797875,5,"GRHL2act"
0.2788,0.5963,0.0595202392154483,4,"GRHL2act"
0.4895,0.677,0.0110246848142459,4,"GRHL2act"
0.4364,0.5801,0.000997466123235896,4,"GRHL2act"
0.4972,0.7154,0.00280426328441721,5,"GRHL2act"
0.5158,0.701,0.000107362710292373,4,"GRHL2act"
0.7877,0.8633,0.0145657593455695,6,"GRHL2act"
0.2435,0.5707,0.0440354170752333,4,"GRHL2act"
0.4977,0.6317,0.0111008585245287,5,"GRHL2act"
0.3972,0.6146,0.0538413401053292,4,"GRHL2act"
0.3715,0.6459,0.0129510435513117,4,"GRHL2act"
0.7012,0.8094,0.00440108075841575,6,"GRHL2act"
0.6028,0.7623,0.00381745729105211,5,"GRHL2act"
0.4174,0.6572,0.0266381405031197,4,"GRHL2act"
0.4931,0.69,0,4,"GRHL2act"
0.3193,0.4758,0.0545194666366154,5,"NRF2"
0.5305,0.6193,0.0530795797368474,7,"NRF2"
0.6075,0.7054,0.0511501055969282,9,"NRF2"
0.4693,0.6245,0.0356416751907124,7,"NRF2"
0.4689,0.6507,0.0986516396161872,7,"NRF2"
0.4296,0.5654,0.41381726402991,6,"NRF2"
0.2665,0.4635,0.079522011650726,7,"NRF2"
0.1287,0.4015,0.295161127676884,6,"NRF2"
0.2478,0.3565,0.0545492059069421,7,"NRF2"
0.3119,0.4887,0.308487019131341,6,"NRF2"
0.4491,0.5235,0.604883049541211,9,"NRF2"
0.4048,0.5549,0.0942886038142857,6,"NRF2"
0.5541,0.6446,0.0282078867813398,8,"NRF2"
0.6597,0.7223,0.133370090386098,10,"NRF2"
0.2878,0.3944,0.0362834910625738,7,"NRF2"
0.5059,0.609,0.0030770601454342,8,"NRF2"
0.4048,0.5247,0.348566041489376,5,"NRF2"
0.523,0.6102,0.0244545693287547,7,"NRF2"
0.5266,0.6346,0.0216331453740634,8,"NRF2"
0.5588,0.6827,0.706259603572935,6,"NRF2"
0.5954,0.6546,0.0291372710312484,6,"NRF2"
0.4488,0.5742,0.58646682858698,6,"NRF2"
0.422,0.5554,0.00957337296157666,6,"NRF2"
0.262,0.4671,0.0683477616748626,6,"NRF2"
0.3804,0.4735,0.0122034530331067,7,"NRF2"
0.3807,0.5213,0.0726505644349597,6,"NRF2"
0.4513,0.5245,0.117796772119976,7,"NRF2"
0.4504,0.5787,0.0730786822156272,6,"NRF2"
0.5559,0.6507,0.0099022624033814,6,"NRF2"
0.5844,0.6584,0.0692121270772577,8,"NRF2"
0.4244,0.5043,0.00977848888631752,7,"NRF2"
0.5338,0.6418,0.00380648447172802,8,"NRF2"
0.5448,0.7396,0.0426891274628312,9,"NRF2"
0.4921,0.584,0.0416217334104631,8,"NRF2"
0.4026,0.5491,0.0141897682553103,8,"NRF2"
0.6185,0.6913,0.0116479492889595,10,"NRF2"
0.4507,0.5791,0.104013414615734,8,"NRF2"
0.5554,0.6495,0.017090602345328,10,"NRF2"
0.3645,0.5337,0.0230528698551586,8,"NRF2"
0.6303,0.6965,0.0165763877033798,10,"NRF2"
0.6186,0.6763,0.0152343312933743,10,"NRF2"
0.3466,0.5376,0.0495130009234981,8,"NRF2"
0.5525,0.6425,0.012368913606672,10,"NRF2"
0.4362,0.5643,0.0544422489984391,8,"NRF2"
0.5103,0.6188,0.0375207363519678,8,"NRF2"
0.5097,0.6097,0.02299008630378,8,"NRF2"
0.552,0.7276,0.008508321419665,9,"NRF2"
0.5146,0.6234,0.00294048408754954,8,"NRF2"
0.5037,0.6095,0.011478801742523,8,"NRF2"
0.5242,0.6294,0.020982563088449,8,"NRF2"
0.5248,0.6336,0.0063582952801412,8,"NRF2"
0.4955,0.6044,0.00802994108703522,8,"NRF2"
0.4664,0.5744,0.00455423346415984,8,"NRF2"
0.4962,0.612,0.00433324432149529,8,"NRF2"
0.4842,0.6221,0.0125288001952485,8,"NRF2"
0.4422,0.5816,0.00752335159604173,8,"NRF2"
0.5155,0.6211,0.013534189611491,8,"NRF2"
0.4882,0.5938,0.0089514850630641,8,"NRF2"
0.5046,0.6205,0.120221201941682,10,"NRF2"
0.4943,0.5965,0.0128832259832329,10,"NRF2"
0.58,0.6716,0.0108154152729104,10,"NRF2"
0.4519,0.596,0.014824340298889,8,"NRF2"
0.5619,0.7141,0.0237019024381163,9,"NRF2"
0.492,0.6014,0.0274207651346523,8,"NRF2"
0.5944,0.6813,0.0137440525067925,10,"NRF2"
0.4359,0.5751,0.0157639554782339,8,"NRF2"
0.5294,0.6229,0.00466690975704479,10,"NRF2"
0.4178,0.5585,0.0136459049555091,9,"NRF2"
0.425,0.584,0.031689469127152,8,"NRF2"
0.5513,0.6658,0.0137754947729148,9,"NRF2"
0.4432,0.5749,0.0516656964193159,8,"NRF2"
0.5309,0.6342,0.0107866567859945,10,"NRF2"
0.4881,0.573,0.0245725115895767,10,"NRF2"
0.5248,0.7113,0.0949000345573747,9,"NRF2"
0.5357,0.6393,0.0102370115546673,10,"NRF2"
0.4703,0.587,0.00764348198651275,10,"NRF2"
0.528,0.6352,0.0193751184770934,8,"NRF2"
0.5364,0.6826,0.0528499282617501,9,"NRF2"
0.5462,0.7105,0.0106661857433627,9,"NRF2"
0.5245,0.6239,0.0108289055066019,8,"NRF2"
0.5014,0.6479,0.0131896464874542,9,"NRF2"
0.4534,0.5485,0.00949492079018263,10,"NRF2"
0.4216,0.5954,0.033886340041237,9,"NRF2"
0.5285,0.6417,0.0217531645139469,9,"NRF2"
0.4802,0.5946,0.0273566639112482,10,"NRF2"
0.5123,0.6122,0.0183344736741905,10,"NRF2"
0.5162,0.6661,0.123500228231043,9,"NRF2"
0.4867,0.5828,0.0200856114375387,10,"NRF2"
0.5646,0.6853,0.010434920912903,9,"NRF2"
0.5176,0.6229,0.00749322530360168,8,"NRF2"
0.5322,0.6371,0.0155260126206936,9,"NRF2"
0.5213,0.6285,0.0569091125602956,8,"NRF2"
0.5197,0.6286,0.0260376515400533,8,"NRF2"
0.5467,0.6508,0.0303464799945041,9,"NRF2"
0.669,0.7379,0.0212930040457438,10,"NRF2"
0.3976,0.5647,0.0243341765585528,8,"NRF2"
0.5644,0.6602,0.0283358600252526,10,"NRF2"
0.4331,0.5656,0.188335744623027,8,"NRF2"
0.4222,0.564,0.0825241133010747,8,"NRF2"
0.6323,0.7056,0.0797945833389514,10,"NRF2"
0.7036,0.7562,0.0309317282864565,10,"NRF2"
0.3348,0.5254,0.0455066284292079,8,"NRF2"
0.5082,0.6058,0.0204571172555683,10,"NRF2"
0.5032,0.623,0.175496111433027,10,"NRF2"
0.4416,0.5883,0.0180057901495914,8,"NRF2"
0.6246,0.7001,0.0139541471634945,10,"NRF2"
0.6063,0.6893,0.0623532578802016,10,"NRF2"
0.4531,0.5856,0.0626416584086312,8,"NRF2"
0.4065,0.5649,0.0231958249204481,8,"NRF2"
0.6496,0.7247,0.0199332066179603,10,"NRF2"
0.6152,0.708,0.0162613209972574,9,"NRF2"
0.4248,0.5769,0.0375344225694902,8,"NRF2"
0.5568,0.6539,0.0118136287148959,10,"NRF2"
0.4446,0.5715,0.0590973121689843,8,"NRF2"
0.5103,0.6124,0.021118194472175,10,"NRF2"
0.5086,0.6364,0.158224916405262,11,"NRF2"
0.4358,0.5775,0.0143288167174378,8,"NRF2"
0.6227,0.715,0.0109022816096582,11,"NRF2"
0.4688,0.5864,0.107461493210087,8,"NRF2"
0.5589,0.6605,0.0134629058132475,11,"NRF2"
0.6053,0.6947,0.0509719191897509,11,"NRF2"
0.4519,0.5822,0.0569112037348985,8,"NRF2"
0.4074,0.5606,0.0281919260419941,9,"NRF2"
0.5697,0.6579,0.00610766951052647,10,"NRF2"
0.5639,0.6516,0.0128413386266019,11,"NRF2"
0.3886,0.5579,0.0624511954849581,9,"NRF2"
0.5616,0.7031,0.00859721745826393,9,"NRF2"
0.4606,0.571,0.0261906642979935,8,"NRF2"
0.5137,0.6204,0,8,"NRF2"
0.2802,0.4596,0.028159381391616,3,"OCT4"
0.2665,0.3944,0.0469974884769578,3,"OCT4"
0.4541,0.6419,0.0481945542676901,4,"OCT4"
0.5396,0.6427,0.0902017197577517,5,"OCT4"
0.3754,0.6528,0.00114191680386059,4,"OCT4"
0.3457,0.6068,0.00404401582042653,4,"OCT4"
0.3656,0.624,0.00524640985504499,4,"OCT4"
0.3645,0.632,0.00372127759309023,4,"OCT4"
0.1813,0.4187,0.00483454526483872,3,"OCT4"
0.1092,0.3258,0.038169929494008,3,"OCT4"
0.2667,0.4604,0.0756013724607351,3,"OCT4"
0.2485,0.4127,0.235869396803142,4,"OCT4"
0.1441,0.4593,0.150069970481981,3,"OCT4"
0.1171,0.4451,0.146042748335644,3,"OCT4"
0.36,0.4954,0.115804556534131,3,"OCT4"
0.4146,0.5014,0.301798871592368,4,"OCT4"
0.2362,0.431,0.0164132287630612,3,"OCT4"
0.152,0.3256,0.0750902341236913,3,"OCT4"
0.2685,0.563,0.00841368203404754,3,"OCT4"
0.216,0.5212,0.0331162218118511,4,"OCT4"
0.3838,0.7415,0.0176964098296039,5,"OCT4"
0.323,0.5357,0.0227311157777708,4,"OCT4"
0.445,0.6525,0.0142767518795519,6,"OCT4"
0.231,0.5032,0.02631449116004,4,"OCT4"
0.3441,0.6427,0.00753635290764944,5,"OCT4"
0.243,0.4905,0.0119185419990169,4,"OCT4"
0.3323,0.574,0.003745955472715,4,"OCT4"
0.2989,0.579,0.0211884487073705,4,"OCT4"
0.3943,0.6602,0.00672814484911027,5,"OCT4"
0.3229,0.5905,0.000375304607436286,4,"OCT4"
0.3104,0.5742,0.0121907037067619,4,"OCT4"
0.2937,0.5108,0.00206651984137939,4,"OCT4"
0.2689,0.558,0.0266561424321661,5,"OCT4"
0.3985,0.6019,0.171023025780498,5,"OCT4"
0.5983,0.8042,0.0143998110859549,6,"OCT4"
0.1831,0.4833,0.0381619880489657,4,"OCT4"
0.2069,0.4937,0.0362098145917409,4,"OCT4"
0.5255,0.7111,0.020442634202189,6,"OCT4"
0.3549,0.7159,0.0154714027297891,5,"OCT4"
0.282,0.4754,0.0341926241635043,4,"OCT4"
0.4552,0.6338,0.0272520381890736,5,"OCT4"
0.2234,0.5284,0.0377425309984896,4,"OCT4"
0.3814,0.6463,0.086948045503864,5,"OCT4"
0.3085,0.5293,0.0204086769184968,5,"OCT4"
0.2622,0.5703,0.00916974221256231,5,"OCT4"
0.4578,0.6937,0.0108042109805214,6,"OCT4"
0.3056,0.5041,0.0192229333581002,5,"OCT4"
0.31,0.6086,0.0495669839117911,5,"OCT4"
0.404,0.6712,0.00184801358231226,5,"OCT4"
0.2751,0.5619,0.00572853814465361,4,"OCT4"
0.31,0.579,0,4,"OCT4"
0.1032,0.2102,0.0274936334258853,2,"OVOL"
0.5604,0.6104,0.0724988212985011,4,"OVOL"
0.2849,0.4843,0.007315390849509,3,"OVOL"
0.293,0.5006,0.00746680874124568,3,"OVOL"
0.2715,0.3487,0.468551388432514,3,"OVOL"
0.0555,0.1353,0.0566677284583785,2,"OVOL"
0.0696,0.2729,0.176367836894495,2,"OVOL"
0.1894,0.3971,0.0271665488627126,3,"OVOL"
0.171,0.2915,0.00433449626091105,2,"OVOL"
0.4351,0.5426,0.0447824707592888,3,"OVOL"
0.3074,0.5241,0.00118804475255658,3,"OVOL"
0.3023,0.4877,0.00262285735187024,3,"OVOL"
0.223,0.3082,0.161703561247715,2,"OVOL"
0.18,0.29,0.00850724224185229,2,"OVOL"
0.0722,0.3091,0.284854757473961,2,"OVOL"
0.2341,0.4528,0.00572994272904252,2,"OVOL"
0.2835,0.6061,0.018782807292618,4,"OVOL"
0.237,0.3837,0.0265351801048804,3,"OVOL"
0.1623,0.3855,0.0273646661910839,3,"OVOL"
0.4917,0.6168,0.0185049343142173,5,"OVOL"
0.2361,0.4537,0.0324468129312345,3,"OVOL"
0.2532,0.4148,0.00382517798221765,3,"OVOL"
0.3553,0.5421,0.00861737881123816,4,"OVOL"
0.2639,0.4553,0.000464121568313587,3,"OVOL"
0.6014,0.7333,0.0203801756071295,5,"OVOL"
0.1286,0.3428,0.05433152348247,3,"OVOL"
0.2593,0.413,0.00367325226360681,4,"OVOL"
0.2612,0.5244,0.0976883959290991,4,"OVOL"
0.2197,0.4447,0.00786479963299411,4,"OVOL"
0.3982,0.5634,0.0100925147753541,5,"OVOL"
0.3581,0.5629,0.00268807943188498,4,"OVOL"
0.2219,0.4255,0.00413513061716644,3,"OVOL"
0.2503,0.4362,0,3,"OVOL"
0.285,0.6033,0.023507091205968,4,"OVOLinh"
0.137,0.2353,0.00727180181425453,2,"OVOLinh"
0.4408,0.5022,0.0301483708505655,4,"OVOLinh"
0.2693,0.4184,0.00762528723253323,3,"OVOLinh"
0.2922,0.4449,0.0070606177998629,3,"OVOLinh"
0.2597,0.3365,0.190641936937617,3,"OVOLinh"
0.0467,0.0901,0.0288319885512986,2,"OVOLinh"
0.0491,0.2093,0.139963681061755,2,"OVOLinh"
0.1286,0.2685,0.0295949167155243,3,"OVOLinh"
0.2543,0.4433,0.0286030668260641,3,"OVOLinh"
0.1942,0.3123,0.00137178484578564,2,"OVOLinh"
0.3759,0.4684,0.0242556475150212,3,"OVOLinh"
0.3053,0.4631,0.00153094154629824,3,"OVOLinh"
0.2951,0.4346,0.00464722138232984,3,"OVOLinh"
0.2308,0.3151,0.0793928524348144,2,"OVOLinh"
0.1184,0.1937,0.00332728935132714,2,"OVOLinh"
0.0614,0.2294,0.182352765358667,2,"OVOLinh"
0.1879,0.342,0.00597102605175851,2,"OVOLinh"
0.16,0.3356,0.0086105242941451,3,"OVOLinh"
0.3968,0.5104,0.00725900721811409,5,"OVOLinh"
0.2404,0.4019,0.0191120536853142,3,"OVOLinh"
0.2403,0.3755,0.00833793037696564,3,"OVOLinh"
0.3468,0.5169,0.00528643350598789,4,"OVOLinh"
0.2653,0.4128,0.000232190397132957,3,"OVOLinh"
0.6,0.7077,0.0138149276247849,5,"OVOLinh"
0.1168,0.2876,0.0377162654624644,3,"OVOLinh"
0.2607,0.3991,0.0104593277224035,4,"OVOLinh"
0.2441,0.4188,0.0505510650221903,4,"OVOLinh"
0.1884,0.3655,0.0103411702412004,4,"OVOLinh"
0.4415,0.5574,0.0091640362719951,5,"OVOLinh"
0.3599,0.5182,0.00196212430067762,4,"OVOLinh"
0.1956,0.353,0.00855741213108551,3,"OVOLinh"
0.2452,0.3958,0,3,"OVOLinh"
