,Cycles,Nature,Edge_count
0,Snai2,P,1
1,Snai1,N,1
2,"Ctnnb1,Snai2,Snai1,Cdh1",N,4
3,"Ctnnb1,Snai2,Snai1,Zeb1,Grhl2,Trp63,Irf6,Cdh1",N,8
4,"Ctnnb1,Snai2,Snai1,Zeb1,Grhl2,Irf6,Cdh1",N,7
5,"Ctnnb1,Snai2,Snai1,Zeb1,Grhl2,Hmgn3,Trp63,Irf6,Cdh1",N,9
6,"Ctnnb1,Snai2,Snai1,Zeb1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",N,9
7,"Ctnnb1,Snai2,Snai1,Zeb1,Grhl2,Cdh1",N,6
8,"Ctnnb1,Snai2,Snai1,Zeb1,Cdh1",N,5
9,"Ctnnb1,Snai2,Snai1,Zeb1,Esrp1,Grhl2,Trp63,Irf6,Cdh1",N,9
10,"Ctnnb1,Snai2,Snai1,Zeb1,Esrp1,Grhl2,Irf6,Cdh1",N,8
11,"Ctnnb1,Snai2,Snai1,Zeb1,Esrp1,Grhl2,Hmgn3,Trp63,Irf6,Cdh1",N,10
12,"Ctnnb1,Snai2,Snai1,Zeb1,Esrp1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",N,10
13,"Ctnnb1,Snai2,Snai1,Zeb1,Esrp1,Grhl2,Cdh1",N,7
14,"Ctnnb1,Snai2,Snai1,Twist1,Zeb1,Grhl2,Trp63,Irf6,Cdh1",N,9
15,"Ctnnb1,Snai2,Snai1,Twist1,Zeb1,Grhl2,Irf6,Cdh1",N,8
16,"Ctnnb1,Snai2,Snai1,Twist1,Zeb1,Grhl2,Hmgn3,Trp63,Irf6,Cdh1",N,10
17,"Ctnnb1,Snai2,Snai1,Twist1,Zeb1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",N,10
18,"Ctnnb1,Snai2,Snai1,Twist1,Zeb1,Grhl2,Cdh1",N,7
19,"Ctnnb1,Snai2,Snai1,Twist1,Zeb1,Cdh1",N,6
20,"Ctnnb1,Snai2,Snai1,Twist1,Zeb1,Esrp1,Grhl2,Trp63,Irf6,Cdh1",N,10
21,"Ctnnb1,Snai2,Snai1,Twist1,Zeb1,Esrp1,Grhl2,Irf6,Cdh1",N,9
22,"Ctnnb1,Snai2,Snai1,Twist1,Zeb1,Esrp1,Grhl2,Hmgn3,Trp63,Irf6,Cdh1",N,11
23,"Ctnnb1,Snai2,Snai1,Twist1,Zeb1,Esrp1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",N,11
24,"Ctnnb1,Snai2,Snai1,Twist1,Zeb1,Esrp1,Grhl2,Cdh1",N,8
25,"Ctnnb1,Snai2,Snai1,Twist1,Cdh1",N,5
26,"Ctnnb1,Snai2,Twist1,Zeb1,Grhl2,Trp63,Irf6,Cdh1",P,8
27,"Ctnnb1,Snai2,Twist1,Zeb1,Grhl2,Irf6,Cdh1",P,7
28,"Ctnnb1,Snai2,Twist1,Zeb1,Grhl2,Hmgn3,Trp63,Irf6,Cdh1",P,9
29,"Ctnnb1,Snai2,Twist1,Zeb1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",P,9
30,"Ctnnb1,Snai2,Twist1,Zeb1,Grhl2,Cdh1",P,6
31,"Ctnnb1,Snai2,Twist1,Zeb1,Cdh1",P,5
32,"Ctnnb1,Snai2,Twist1,Zeb1,Esrp1,Grhl2,Trp63,Irf6,Cdh1",P,9
33,"Ctnnb1,Snai2,Twist1,Zeb1,Esrp1,Grhl2,Irf6,Cdh1",P,8
34,"Ctnnb1,Snai2,Twist1,Zeb1,Esrp1,Grhl2,Hmgn3,Trp63,Irf6,Cdh1",P,10
35,"Ctnnb1,Snai2,Twist1,Zeb1,Esrp1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",P,10
36,"Ctnnb1,Snai2,Twist1,Zeb1,Esrp1,Grhl2,Cdh1",P,7
37,"Ctnnb1,Snai2,Twist1,Snai1,Cdh1",P,5
38,"Ctnnb1,Snai2,Twist1,Snai1,Zeb1,Grhl2,Trp63,Irf6,Cdh1",P,9
39,"Ctnnb1,Snai2,Twist1,Snai1,Zeb1,Grhl2,Irf6,Cdh1",P,8
40,"Ctnnb1,Snai2,Twist1,Snai1,Zeb1,Grhl2,Hmgn3,Trp63,Irf6,Cdh1",P,10
41,"Ctnnb1,Snai2,Twist1,Snai1,Zeb1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",P,10
42,"Ctnnb1,Snai2,Twist1,Snai1,Zeb1,Grhl2,Cdh1",P,7
43,"Ctnnb1,Snai2,Twist1,Snai1,Zeb1,Cdh1",P,6
44,"Ctnnb1,Snai2,Twist1,Snai1,Zeb1,Esrp1,Grhl2,Trp63,Irf6,Cdh1",P,10
45,"Ctnnb1,Snai2,Twist1,Snai1,Zeb1,Esrp1,Grhl2,Irf6,Cdh1",P,9
46,"Ctnnb1,Snai2,Twist1,Snai1,Zeb1,Esrp1,Grhl2,Hmgn3,Trp63,Irf6,Cdh1",P,11
47,"Ctnnb1,Snai2,Twist1,Snai1,Zeb1,Esrp1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",P,11
48,"Ctnnb1,Snai2,Twist1,Snai1,Zeb1,Esrp1,Grhl2,Cdh1",P,8
49,"Ctnnb1,Snai2,Twist1,Cdh1",P,4
50,"Ctnnb1,Snai2,Cdh1",P,3
51,"Ctnnb1,Lef1,Twist1,Zeb1,Grhl2,Trp63,Irf6,Cdh1",P,8
52,"Ctnnb1,Lef1,Twist1,Zeb1,Grhl2,Irf6,Cdh1",P,7
53,"Ctnnb1,Lef1,Twist1,Zeb1,Grhl2,Hmgn3,Trp63,Irf6,Cdh1",P,9
54,"Ctnnb1,Lef1,Twist1,Zeb1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",P,9
55,"Ctnnb1,Lef1,Twist1,Zeb1,Grhl2,Cdh1",P,6
56,"Ctnnb1,Lef1,Twist1,Zeb1,Cdh1",P,5
57,"Ctnnb1,Lef1,Twist1,Zeb1,Esrp1,Grhl2,Trp63,Irf6,Cdh1",P,9
58,"Ctnnb1,Lef1,Twist1,Zeb1,Esrp1,Grhl2,Irf6,Cdh1",P,8
59,"Ctnnb1,Lef1,Twist1,Zeb1,Esrp1,Grhl2,Hmgn3,Trp63,Irf6,Cdh1",P,10
60,"Ctnnb1,Lef1,Twist1,Zeb1,Esrp1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",P,10
61,"Ctnnb1,Lef1,Twist1,Zeb1,Esrp1,Grhl2,Cdh1",P,7
62,"Ctnnb1,Lef1,Twist1,Snai1,Cdh1",P,5
63,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Grhl2,Trp63,Irf6,Cdh1",P,9
64,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Grhl2,Irf6,Cdh1",P,8
65,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Grhl2,Hmgn3,Trp63,Irf6,Cdh1",P,10
66,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",P,10
67,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Grhl2,Cdh1",P,7
68,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Cdh1",P,6
69,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Esrp1,Grhl2,Trp63,Irf6,Cdh1",P,10
70,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Esrp1,Grhl2,Irf6,Cdh1",P,9
71,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Esrp1,Grhl2,Hmgn3,Trp63,Irf6,Cdh1",P,11
72,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Esrp1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",P,11
73,"Ctnnb1,Lef1,Twist1,Snai1,Zeb1,Esrp1,Grhl2,Cdh1",P,8
74,"Ctnnb1,Lef1,Twist1,Cdh1",P,4
75,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Cdh1",N,6
76,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Grhl2,Trp63,Irf6,Cdh1",N,10
77,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Grhl2,Irf6,Cdh1",N,9
78,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Grhl2,Hmgn3,Trp63,Irf6,Cdh1",N,11
79,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",N,11
80,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Grhl2,Cdh1",N,8
81,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Cdh1",N,7
82,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Esrp1,Grhl2,Trp63,Irf6,Cdh1",N,11
83,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Esrp1,Grhl2,Irf6,Cdh1",N,10
84,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Esrp1,Grhl2,Hmgn3,Trp63,Irf6,Cdh1",N,12
85,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Esrp1,Grhl2,Dlx3,Trp63,Irf6,Cdh1",N,12
86,"Ctnnb1,Lef1,Twist1,Snai2,Snai1,Zeb1,Esrp1,Grhl2,Cdh1",N,9
87,"Ctnnb1,Lef1,Twist1,Snai2,Cdh1",P,5
88,"Snai1,Twist1",P,2
89,"Snai1,Twist1,Snai2",N,3
90,"Snai2,Twist1",P,2
91,"Zeb1,Grhl2",P,2
92,"Zeb1,Esrp1,Grhl2",P,3
93,"Grhl2,Trp63,Irf6",P,3
94,"Grhl2,Trp63",P,2
95,"Grhl2,Irf6",P,2
96,"Grhl2,Hmgn3,Trp63,Irf6",P,4
97,"Grhl2,Hmgn3,Trp63",P,3
98,"Grhl2,Dlx3,Trp63,Irf6",P,4
99,"Grhl2,Dlx3,Trp63",P,3
100,"Grhl2,Esrp1",P,2
